VMDProductNo,Name,MAHolder,VMNo,DateOfExpiration,AuthorisationRoute,Territory,ActiveSubstances,SPC_Link
A002681,Program Oral Suspension for Large Cats 266 mg,Elanco Europe Ltd,00879/4022,2022-05-03,National (Informed Consent),United Kingdom,Lufenuron,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_134004.PDF
A002811,Vetrazin 6% w/v Pour-on Solution,Elanco Europe Ltd,00879/4023,2020-10-07,National,United Kingdom,Cyromazine,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_134432.PDF
A005051,Program Plus Film-coated Tablets 11.5 mg/230 mg,Elanco Europe Ltd,00879/4028,2023-01-09,National,Great Britain,"Lufenuron, Milbemycin Oxime (a3 And A4)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141091.PDF
A012368,Program Plus Film-coated Tablets 11.5 mg/230 mg,Elanco Europe Ltd,00879/4028,2023-01-09,Mutually Recognised,Northern Ireland,"Lufenuron, Milbemycin Oxime (a3 And A4)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141091.PDF
A012369,Program Plus Film-coated Tablets 2.3 mg/46 mg,Elanco Europe Ltd,00879/4029,2023-01-09,Mutually Recognised,Northern Ireland,"Lufenuron, Milbemycin Oxime (a3 And A4)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141087.PDF
A05049,Program Plus Film-coated Tablets 2.3 mg/46 mg,Elanco Europe Ltd,00879/4029,2023-01-09,National,Great Britain,"Lufenuron, Milbemycin Oxime (a3 And A4)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141087.PDF
A012370,Program Plus Film-coated Tablets 23 mg/460 mg,Elanco Europe Ltd,00879/4030,2023-01-09,Mutually Recognised,Northern Ireland,"Lufenuron, Milbemycin Oxime (a3 And A4)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141092.PDF
A005052,Program Plus Film-coated Tablets 23 mg/460 mg,Elanco Europe Ltd,00879/4030,2023-01-09,National,Great Britain,"Lufenuron, Milbemycin Oxime (a3 And A4)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141092.PDF
A005050,Program Plus Film-coated Tablets 5.75 mg/115 mg,Elanco Europe Ltd,00879/4031,2023-01-09,National,Great Britain,"Lufenuron, Milbemycin Oxime (a3 And A4)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141088.PDF
A012371,Program Plus Film-coated Tablets 5.75 mg/115 mg,Elanco Europe Ltd,00879/4031,2023-01-09,Mutually Recognised,Northern Ireland,"Lufenuron, Milbemycin Oxime (a3 And A4)",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141088.PDF
A001275,Framomycin 150 mg/ml Solution for Injection,Elanco Europe Ltd,00879/4033,2022-03-07,National,United Kingdom,Framycetin Sulphate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_207725.PDF
A000702,"Denagard 2% w/w Premix for Medicated Feed for Pigs, Chickens, Turkeys and Rabbits",Elanco Europe Ltd,00879/4050,2020-12-23,National,United Kingdom,Tiamulin Hydrogen Fumarate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_132008.PDF
A000343,"Denagard 80% w/w Premix for Medicated Feed for Pigs, Chickens and Turkeys",Elanco Europe Ltd,00879/4054,2021-08-17,National,United Kingdom,Tiamulin Hydrogen Fumarate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_132009.PDF
A005326,"Beaphar One Dose Wormer for Dogs, 500 mg Film Coated Tablets",Elanco Europe Ltd,00879/4056,2021-11-24,National (Informed Consent),United Kingdom,Nitroscanate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_134431.PDF
A05327,"Beaphar One Dose Wormer for Small Dogs and Puppies, 100 mg Film Coated Tablets",Elanco Europe Ltd,00879/4057,2021-11-24,National (Informed Consent),United Kingdom,Nitroscanate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_136356.PDF
A002939,"Johnson's One Dose Easy  Wormer for Small Dogs and Puppies, 100 mg Film Coated Tablets",Elanco Europe Ltd,00879/4063,2021-11-24,National (Informed Consent),United Kingdom,Nitroscanate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_92182.PDF
A002938,"Johnson's One Dose Easy Wormer for Dogs and Puppies, 500 mg Film Coated Tablets",Elanco Europe Ltd,00879/4064,2021-11-24,National (Informed Consent),United Kingdom,Nitroscanate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_92180.PDF
A002863,PLT Tablets,Elanco Europe Ltd,00879/4074,2020-10-07,National,United Kingdom,"Cinchophen, Prednisolone",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_107579.PDF
A003042,Synutrim Fortesol Powder for Oral Solution,Elanco Europe Ltd,00879/4077,2022-05-03,National,United Kingdom,"Sulfadiazine Sodium, Trimethoprim",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_105649.PDF
A008601,Winvil 3 Micro Emulsion for Injection for Atlantic Salmon,Elanco Europe Ltd,00879/4080,2020-09-18,National (Provisional MA),United Kingdom,"Aeromonas salmonicida subsp. salmonicida, Infectious pancreatic necrosis virus, Moritella viscosa",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_659675.PDF
A009784,Turzine 12.5/125 mg Tablets for Dogs,Elanco Europe Ltd,00879/4091,2022-10-04,National,United Kingdom,"Milbemycin Oxime (A3 and A4), Praziquantel",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1329337.PDF
A009783,Turzine 2.5/25 mg Tablets for Small Dogs and Puppies,Elanco Europe Ltd,00879/4092,2022-10-04,National,United Kingdom,"Milbemycin Oxime (A3 and A4), Praziquantel",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1329355.PDF
A009782,Turzine 16/40 mg Film-coated Tablets for Cats,Elanco Europe Ltd,00879/4093,2022-10-04,National,United Kingdom,"Milbemycin Oxime (A3 and A4), Praziquantel",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1328636.PDF
A009780,Turzine 4/10 mg Film-coated Tablets for Small Cats and Kittens,Elanco Europe Ltd,00879/4094,2022-10-04,National,United Kingdom,"Milbemycin Oxime (A3 and A4), Praziquantel",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1329209.PDF
A007547,"Baycox 50 mg/ml Oral Suspension for Piglets, Calves and Lambs",Elanco Europe Ltd,00879/4113,2021-05-31,National,United Kingdom,Toltrazuril,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_258490.PDF
A001406,Bayvarol 3.6 mg Bee-hive Strips for Honey Bees,Elanco Europe Ltd,00879/4125,2022-01-15,National,Great Britain,Flumethrin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_107208.PDF
A011423,Bayvarol 3.6 mg Bee-hive Strips for Honey Bees,Elanco Europe Ltd,00879/4125,2022-01-15,Mutually Recognised,Northern Ireland,Flumethrin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_107208.PDF
A011931,Frento Flea Control 100 mg Spot-on Solution for Medium Dogs,Elanco Europe Ltd,00879/4136,2024-01-26,Mutually Recognised,Northern Ireland,Imidacloprid,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1407536.PDF
A009976,Frento Flea Control 100 mg Spot-on Solution for Medium Dogs,Elanco Europe Ltd,00879/4136,2024-01-26,National,Great Britain,Imidacloprid,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1407536.PDF
A009977,Frento Flea Control 250 mg Spot-on Solution for Large Dogs,Elanco Europe Ltd,00879/4137,2024-01-26,National,Great Britain,Imidacloprid,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1407557.PDF
A011932,Frento Flea Control 250 mg Spot-on Solution for Large Dogs,Elanco Europe Ltd,00879/4137,2024-01-26,Mutually Recognised,Northern Ireland,Imidacloprid,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1407557.PDF
A011933,Frento Flea Control 40 mg Spot-on Solution for Small Dogs ,Elanco Europe Ltd,00879/4138,2024-01-26,Mutually Recognised,Northern Ireland,Imidacloprid,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1407709.PDF
A009975,Frento Flea Control 40 mg Spot-on Solution for Small Dogs ,Elanco Europe Ltd,00879/4138,2024-01-26,National,Great Britain,Imidacloprid,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1407709.PDF
A009978,Frento Flea Control 400 mg Spot-on Solution for Extra-Large Dogs,Elanco Europe Ltd,00879/4139,2024-01-26,National,Great Britain,Imidacloprid,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1407745.PDF
A011934,Frento Flea Control 400 mg Spot-on Solution for Extra-Large Dogs,Elanco Europe Ltd,00879/4139,2024-01-26,Mutually Recognised,Northern Ireland,Imidacloprid,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1407745.PDF
A009527,PolyVar Yellow 275 mg Bee-hive Strip ,Elanco Europe Ltd,00879/4146,2022-01-15,National,Great Britain,Flumethrin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1140259.PDF
A012301,PolyVar Yellow 275 mg Bee-hive Strip ,Elanco Europe Ltd,00879/4146,2022-01-15,Mutually Recognised,Northern Ireland,Flumethrin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1140259.PDF
A003051,Apralan G200 Premix for Medicated Feeding Stuff,Elanco Europe Ltd,00879/4167,2023-06-15,National (Informed Consent),United Kingdom,Apramycin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_140882.PDF
A001431,Tylan G20 Premix for Medicated Feedingstuff,Elanco Europe Ltd,00879/4172,2021-07-12,National,United Kingdom,Tylosin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_140140.PDF
A005447,AviPro Gumboro Vac Lyophilisate for Suspension for Chicken,Elanco Europe Ltd,00879/4192,2024-03-27,National,Great Britain,Infectious bursal disease virus,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_179698.PDF
A011402,AviPro Gumboro Vac Lyophilisate for Suspension for Chicken,Elanco Europe Ltd,00879/4192,2024-03-27,Mutually Recognised,Northern Ireland,Infectious bursal disease virus,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_179698.PDF
A011640,Dectomax 5 mg/ml Pour-on Solution for Cattle,Elanco Europe Ltd,00879/4201,2023-06-01,Mutually Recognised,Northern Ireland,Doramectin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_136038.PDF
A002553,Dectomax 5 mg/ml Pour-on Solution for Cattle,Elanco Europe Ltd,00879/4201,2023-06-01,National,Great Britain,Doramectin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_136038.PDF
A011331,Amflee Combo 50 mg/60 mg Spot-on Solution for Cats and Ferrets,"Krka d.d., Novo Mesto",01656/3039,2023-07-19,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2384085.PDF
A011332,Amflee Combo 67 mg/ 60.3 mg Spot-on Solution for Small Dogs,"Krka d.d., Novo Mesto",01656/3040,2023-07-19,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2384015.PDF
A011328,Amflee Combo 134 mg/ 120.6 mg Spot-on Solution for Medium Dogs,"Krka d.d., Novo Mesto",01656/3041,2023-07-19,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2383812.PDF
A011329,Amflee Combo 268 mg/ 241.2 mg Spot-on Solution for Large Dogs ,"Krka d.d., Novo Mesto",01656/3042,2023-07-19,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2383880.PDF
A011330,Amflee Combo 402 mg/ 361.8 mg Spot-on Solution for Extra Large Dogs,"Krka d.d., Novo Mesto",01656/3043,2023-07-19,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2383940.PDF
A011634,Dadektin Combo 50 mg/60 mg Spot-on Solution for Cats,"Krka d.d., Novo Mesto",01656/3044,2023-07-19,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2383578.PDF
A011635,Dadektin Combo 67 mg/ 60.3 mg Spot-on Solution for Small Dogs,"Krka d.d., Novo Mesto",01656/3045,2023-07-19,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2383493.PDF
A011631,Dadektin Combo 134 mg/ 120.6 mg Spot-on Solution for Medium Dogs,"Krka d.d., Novo Mesto",01656/3046,2023-07-19,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2383052.PDF
A011632,Dadektin Combo 268 mg/ 241.2 mg Spot-on Solution for Large Dogs,"Krka d.d., Novo Mesto",01656/3047,2023-07-19,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2383201.PDF
A011633,Dadektin Combo 402 mg/ 361.8 mg Spot-on Solution for Extra Large Dogs ,"Krka d.d., Novo Mesto",01656/3048,2023-07-19,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2383429.PDF
A007991,"Tratol 50 mg/ml Oral Suspension for Pigs, Cattle and Sheep","Krka d.d., Novo Mesto",01656/4028,2021-02-19,National,Great Britain,Toltrazuril,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_311628.PDF
A012578,"Tratol 50 mg/ml Oral Suspension for Pigs, Cattle and Sheep","Krka d.d., Novo Mesto",01656/4028,2021-02-19,Mutually Recognised,Northern Ireland,Toltrazuril,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_311628.PDF
A008005,Eliminall 50 mg Spot-on Solution for Cats,"Krka d.d., Novo Mesto",01656/4029,2021-03-23,National,Great Britain,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_339506.PDF
A011733,Eliminall 50 mg Spot-on Solution for Cats,"Krka d.d., Novo Mesto",01656/4029,2021-03-23,Mutually Recognised,Northern Ireland,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_339506.PDF
A011734,Eliminall 67 mg Spot-on Solution for Dogs,"Krka d.d., Novo Mesto",01656/4030,2021-03-23,Mutually Recognised,Northern Ireland,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_339510.PDF
A008006,Eliminall 67 mg Spot-on Solution for Dogs,"Krka d.d., Novo Mesto",01656/4030,2021-03-23,National,Great Britain,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_339510.PDF
A008007,Eliminall 134 mg Spot-on Solution for Dogs,"Krka d.d., Novo Mesto",01656/4031,2021-03-23,National,Great Britain,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_339493.PDF
A011729,Eliminall 134 mg Spot-on Solution for Dogs,"Krka d.d., Novo Mesto",01656/4031,2021-03-23,Mutually Recognised,Northern Ireland,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_339493.PDF
A011731,Eliminall 268 mg Spot-on Solution for Dogs,"Krka d.d., Novo Mesto",01656/4032,2021-03-23,Mutually Recognised,Northern Ireland,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_339495.PDF
A008008,Eliminall 268 mg Spot-on Solution for Dogs,"Krka d.d., Novo Mesto",01656/4032,2021-03-23,National,Great Britain,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_339495.PDF
A008009,Eliminall 402 mg Spot-on Solution for Dogs,"Krka d.d., Novo Mesto",01656/4033,2021-03-23,National,Great Britain,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_339499.PDF
A011732,Eliminall 402 mg Spot-on Solution for Dogs,"Krka d.d., Novo Mesto",01656/4033,2021-03-23,Mutually Recognised,Northern Ireland,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_339499.PDF
A008239,Toltarox 50 mg/ml Oral Suspension for Pigs,"Krka d.d., Novo Mesto",01656/4034,2021-02-19,National,Great Britain,Toltrazuril,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_332562.PDF
A012562,Toltarox 50 mg/ml Oral Suspension for Pigs,"Krka d.d., Novo Mesto",01656/4034,2021-02-19,Mutually Recognised,Northern Ireland,Toltrazuril,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_332562.PDF
A008249,Fyperix 50 mg Spot-on Solution for Cats,"Krka d.d., Novo Mesto",01656/4036,2021-02-19,National,Great Britain,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_362847.PDF
A011949,Fyperix 50 mg Spot-on Solution for Cats,"Krka d.d., Novo Mesto",01656/4036,2021-02-19,Mutually Recognised,Northern Ireland,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_362847.PDF
A011950,Fyperix 67 mg Spot-on Solution for Dogs,"Krka d.d., Novo Mesto",01656/4037,2021-02-19,Mutually Recognised,Northern Ireland,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_362840.PDF
A008250,Fyperix 67 mg Spot-on Solution for Dogs,"Krka d.d., Novo Mesto",01656/4037,2021-02-19,National,Great Britain,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_362840.PDF
A008251,Fyperix 134 mg Spot-on Solution for Dogs,"Krka d.d., Novo Mesto",01656/4038,2021-02-19,National,Great Britain,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_362833.PDF
A011946,Fyperix 134 mg Spot-on Solution for Dogs,"Krka d.d., Novo Mesto",01656/4038,2021-02-19,Mutually Recognised,Northern Ireland,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_362833.PDF
A011947,Fyperix 268 mg Spot-on Solution for Dogs,"Krka d.d., Novo Mesto",01656/4039,2021-02-19,Mutually Recognised,Northern Ireland,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_362838.PDF
A008252,Fyperix 268 mg Spot-on Solution for Dogs,"Krka d.d., Novo Mesto",01656/4039,2021-02-19,National,Great Britain,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_362838.PDF
A008253,Fyperix 402 mg Spot-on Solution for Dogs,"Krka d.d., Novo Mesto",01656/4040,2021-02-19,National,Great Britain,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_362841.PDF
A011948,Fyperix 402 mg Spot-on Solution for Dogs,"Krka d.d., Novo Mesto",01656/4040,2021-02-19,Mutually Recognised,Northern Ireland,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_362841.PDF
A008303,"Eliminall 2.5 mg/ml Cutaneous Spray, Solution for Cats and Dogs","Krka d.d., Novo Mesto",01656/4057,2021-02-19,National,Great Britain,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_403055.PDF
A011730,"Eliminall 2.5 mg/ml Cutaneous Spray, Solution for Cats and Dogs","Krka d.d., Novo Mesto",01656/4057,2021-02-19,Mutually Recognised,Northern Ireland,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_403055.PDF
A011898,"Flevox 2.5 mg/ml Cutaneous Spray, Solution for Cats and Dogs","Krka d.d., Novo Mesto",01656/4058,2021-03-10,Mutually Recognised,Northern Ireland,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_403050.PDF
A008304,"Flevox 2.5 mg/ml Cutaneous Spray, Solution for Cats and Dogs","Krka d.d., Novo Mesto",01656/4058,2021-03-10,National,Great Britain,Fipronil,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_403050.PDF
A007934,Quiflor 100 mg/ml Solution for Injection for Cattle and Pigs (Sows),"Krka d.d., Novo Mesto",01656/4059,2021-02-19,National,Great Britain,Marbofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_318551.PDF
A012396,Quiflor 100 mg/ml Solution for Injection for Cattle and Pigs (Sows),"Krka d.d., Novo Mesto",01656/4059,2021-02-19,Mutually Recognised,Northern Ireland,Marbofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_318551.PDF
