VMDProductNo,Name,MAHolder,Distributors,VMNo,DateOfIssue,AuthorisationRoute,Territory,ActiveSubstances,ControlledDrug,TargetSpecies,DistributionCategory,PharmaceuticalForm,TherapeuticGroup,SPC_Link,UKPAR_Link,PAAR_Link
A011393,Atopica 10 mg Soft Capsules for Dogs,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3011,2003-10-06,Mutually Recognised,Northern Ireland,Ciclosporin A,N,Dogs,POM-V,"Capsule, soft",Anti Inflammatory immunosuppressive,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2393777.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2393787.PDF
A011394,Atopica 100 mg Soft Capsules for Dogs,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3012,2003-10-06,Mutually Recognised,Northern Ireland,Ciclosporin A,N,Dogs,POM-V,"Capsule, soft",Anti Inflammatory immunosuppressive,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2393790.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2393803.PDF
A011396,Atopica 25 mg Soft Capsules for Dogs,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3013,2003-10-06,Mutually Recognised,Northern Ireland,Ciclosporin A,N,Dogs,POM-V,"Capsule, soft",Anti Inflammatory immunosuppressive,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2393814.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2393820.PDF
A011397,Atopica 50 mg Soft Capsules for Dogs,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3014,2003-10-06,Mutually Recognised,Northern Ireland,Ciclosporin A,N,Dogs,POM-V,"Capsule, soft",Anti Inflammatory immunosuppressive,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2393825.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2393841.PDF
A011395,Atopica 100 mg/ml Oral Solution for Cats and Dogs,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3015,2011-09-16,Mutually Recognised,Northern Ireland,Ciclosporin A,N,"Cats, Dogs",POM-V,Oral solution,Anti Inflammatory immunosuppressive,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2393747.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2393759.PDF
A011930,Fortekor Flavour 5 mg Tablets for Cats and Dogs,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3016,2010-04-28,Mutually Recognised,Northern Ireland,Benazepril Hydrochloride,N,"Cats, Dogs",POM-V,Tablet,Cardio Vascular ACE inhibitor,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2393690.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_294673.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2393722.PDF
A011929,Fortekor Flavour 20 mg Tablets for Dogs ,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3017,2010-04-28,Mutually Recognised,Northern Ireland,Benazepril Hydrochloride,N,Dogs,POM-V,Tablet,Cardio Vascular ACE inhibitor,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2393580.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_294673.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2393655.PDF
A011928,Fortekor 2.5 mg Tablets for Cats and Dogs ,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3018,2003-03-31,Mutually Recognised,Northern Ireland,Benazepril Hydrochloride,N,"Cats, Dogs",POM-V,Tablet,Cardio Vascular ACE inhibitor,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2393466.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2393485.PDF
A011498,Capstar 11.4 mg Tablets for Cats and Small Dogs,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3019,2001-08-03,Mutually Recognised,Northern Ireland,Nitenpyram,N,"Cats, Dogs",AVM-GSL,Tablet,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2428667.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2428694.PDF
A011499,Capstar 57 mg Tablets for Large Dogs,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3020,2001-08-03,Mutually Recognised,Northern Ireland,Nitenpyram,N,Dogs,AVM-GSL,Tablet,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2428695.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2428714.PDF
A012103,Milbemax 4 mg/10 mg film-coated tablets for small cats and kittens,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3021,2003-04-17,Mutually Recognised,Northern Ireland,"Milbemycin Oxime (A3 and A4), Praziquantel",N,Cats,POM-V,Coated tablet,Anthelmintic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2499962.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2499983.PDF
A012102,Milbemax 16 mg/40 mg film-coated tablets for cats,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3022,2003-04-17,Mutually Recognised,Northern Ireland,"Milbemycin Oxime (A3 and A4), Praziquantel",N,Cats,POM-V,Coated tablet,Anthelmintic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2499909.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2499929.PDF
A012826,MilbeVet 16 mg/40 mg Film-coated Tablets for Cats ,Elanco Europe Ltd,<span>Elanco Europe Limited</span>,00879/3023,2021-03-25,Mutually Recognised (Informed Consent),Northern Ireland,"Milbemycin Oxime (A3 and A4), Praziquantel",N,Cats,POM-V,Film-coated tablet,Anthelmintic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2500003.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2500013.PDF
A012827,MilbeVet 4 mg/10 mg Film-coated Tablets for Small Cats and Kittens ,Elanco Europe Ltd,<span>Elanco Europe Limited</span>,00879/3024,2021-03-25,Mutually Recognised (Informed Consent),Northern Ireland,"Milbemycin Oxime (A3 and A4), Praziquantel",N,Cats,POM-V,Film-coated tablet,Anthelmintic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2500028.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2500038.PDF
A012105,Milbemax 2.5 mg/25 mg tablets for small dogs and puppies ,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3025,2003-04-17,Mutually Recognised,Northern Ireland,"Milbemycin Oxime (A3 and A4), Praziquantel",N,Dogs,POM-V,Tablet,Anthelmintic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2532907.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2532913.PDF
A012104,Milbemax 12.5 mg/125 mg tablets for dogs,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3026,2003-04-17,Mutually Recognised,Northern Ireland,"Milbemycin Oxime (A3 and A4), Praziquantel",N,Dogs,POM-V,Tablet,Anthelmintic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2532886.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2532899.PDF
A012100,Milbemax 12.5 mg/125 mg chewable tablets for dogs,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3027,2010-01-08,Mutually Recognised,Northern Ireland,"Milbemycin Oxime (A3 and A4), Praziquantel",N,Dogs,POM-V,Chewable tablet,Anthelmintic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2530155.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2530178.PDF
A012101,Milbemax 2.5 mg/25 mg chewable tablets for small dogs and puppies ,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3028,2010-01-08,Mutually Recognised,Northern Ireland,"Milbemycin Oxime (A3 and A4), Praziquantel",N,Dogs,POM-V,Chewable tablet,Anthelmintic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2530233.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2530243.PDF
A012824,MilbeVet 12.5 mg/125 mg Chewable Tablets for Dogs ,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3029,2021-03-25,Mutually Recognised (Informed Consent),Northern Ireland,"Milbemycin Oxime (A3 and A4), Praziquantel",N,Dogs,POM-V,Chewable tablet,Anthelmintic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2530258.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2141790.PDF
A012823,MilbeVet 2.5 mg/25 mg Chewable Tablets for Small Dogs and Puppies ,Elanco Europe Ltd,<span>Elanco Europe Limited</span>,00879/3030,2021-03-25,Mutually Recognised (Informed Consent),Northern Ireland,"Milbemycin Oxime (A3 and A4), Praziquantel",N,Dogs,POM-V,Chewable tablet,Anthelmintic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2064243.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2530312.PDF
A011404,AviPro ND C131 Lyophilisate for Suspension for Chickens and Turkeys,Elanco Europe Ltd,<span>Elanco Europe Ltd.</span>,00879/3031,2007-08-22,Mutually Recognised,Northern Ireland,Newcastle disease virus,N,"Chickens, Turkeys",POM-V,Lyophilisate for suspension,Live Viral Vaccine,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2539195.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1298785.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2539212.PDF
A011403,AviPro IBD Xtreme Lyophilisate for Suspension,Elanco Europe Ltd,<span>Elanco Europe Ltd.</span>,00879/3032,2008-05-29,Mutually Recognised,Northern Ireland,Infectious bursal disease virus,N,Chickens,POM-V,Oral lyophilisate,Live Viral Vaccine,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2564544.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2564564.PDF
A011407,AviPro Salmonella Vac T,Elanco Europe Ltd,<span>Elanco Europe Ltd.</span>,00879/3033,2002-10-10,Mutually Recognised,Northern Ireland,Salmonella typhimurium,N,Chickens,POM-V,Oral lyophilisate,Live Bacterial Vaccine,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2605663.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2605681.PDF
A012477,"Seresto 1.25 g + 0.56 g, Collar for Cats",Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3034,2011-09-08,Mutually Recognised,Northern Ireland,"Flumethrin, Imidacloprid",N,Cats,POM-V,Collar,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2621526.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1968830.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2621554.PDF
A012478,"Seresto 1.25 g + 0.56 g, Collar for Dogs ≤ 8 kg",Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3035,2011-09-08,Mutually Recognised,Northern Ireland,"Flumethrin, Imidacloprid",N,Dogs,POM-V,Collar,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2621605.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1968830.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2621614.PDF
A012479,"Seresto 4.50 g + 2.03 g, Collar for Dogs > 8 kg",Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3036,2011-09-08,Mutually Recognised,Northern Ireland,"Flumethrin, Imidacloprid",N,Dogs,POM-V,Collar,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2621665.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1968830.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2621683.PDF
A011408,Avipro Thymovac Lyophilisate for Use in Drinking Water,Elanco Europe Ltd,<span>Elanco Europe Ltd.</span>,00879/3037,2009-04-28,Mutually Recognised,Northern Ireland,Chicken anaemia virus strain Cux-1,N,Chickens,POM-V,Lyophilisate for use in drinking water,Live Viral Vaccine,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2741719.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2741723.PDF
A009230,MiPet Benazapet 2.5 mg Tablets for Cats and Dogs,Elanco Europe Ltd,<span>Animed Direct Ltd</span>,00879/4000,2015-09-16,National (Informed Consent),United Kingdom,Benazepril Hydrochloride,N,"Cats, Dogs",POM-V,Tablet,Cardio Vascular ACE inhibitor,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_862595.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_908896.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_908236.PDF
A009269,MiPet Benazapet 20 mg Tablets for Dogs,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4001,2015-10-15,National,United Kingdom,Benazepril Hydrochloride,N,Dogs,POM-V,Tablet,Cardio Vascular ACE inhibitor,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_880360.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_916373.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_908227.PDF
A009294,MiPet Benazapet 5 mg Tablets for Cats and Dogs,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4002,2015-10-15,National,United Kingdom,Benazepril Hydrochloride,N,"Cats, Dogs",POM-V,Tablet,Cardio Vascular ACE inhibitor,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_880678.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_924683.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_908221.PDF
A006970,"Fasinex 240, 24% w/v Oral Suspension for Cattle",Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4006,2008-08-05,National,United Kingdom,Triclabendazole,N,Cattle,POM-VPS,Oral suspension,Anthelmintic flukicide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_221928.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_279995.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_261032.PDF
A003011,Flypor 4% w/v Pour-on Solution,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4008,1995-04-11,National (Informed Consent),United Kingdom,Permethrin (Cis:Trans 80:20),N,Cattle,POM-VPS,Pour-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_122142.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_546686.PDF
A005511,Rearguard 6% w/v Cutaneous Solution,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4009,2002-06-20,National,United Kingdom,Cyromazine,N,Rabbits,NFA-VPS,Cutaneous solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_101976.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_571465.PDF
A001294,Rycoben SC 2.50% w/v Oral Suspension for Sheep,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4010,2000-07-26,National,United Kingdom,Albendazole Oxide,N,Sheep,POM-VPS,Oral suspension,Anthelmintic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_123672.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_583288.PDF
A003094,ACP Tablets 10 mg,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4011,1992-07-24,National,United Kingdom,Acepromazine,N,"Cats, Dogs",POM-V,Tablet,Neurological Agent sedative,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_140756.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_509720.PDF
A002783,ACP Injection 2 mg/ml Solution for Injection,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4012,1992-06-30,National,United Kingdom,Acepromazine,N,"Cats, Dogs",POM-V,Solution for injection,Neurological Agent sedative,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_140754.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_509713.PDF
A003322,Corvental D 100 mg Hard Capsules,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4014,1993-02-16,National,United Kingdom,Theophylline,N,Dogs,POM-V,"Capsule, hard",Cardio Vascular; Respiratory Agent,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_204617.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_539631.PDF
A003323,Corvental D 200 mg Hard Capsules,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4015,1993-02-16,National,United Kingdom,Theophylline,N,Dogs,POM-V,"Capsule, hard",Cardio Vascular; Respiratory Agent,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_101620.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_539666.PDF
A002987,Corvental D 500 mg Hard Capsules,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4016,1993-02-16,National,United Kingdom,Theophylline,N,Dogs,POM-V,"Capsule, hard",Cardio Vascular; Respiratory Agent,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_202801.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_539672.PDF
A005821,Crovect 1.25% w/v Pour-on Solution for Sheep,Elanco Europe Ltd,<span>Elanco Europe Ltd.</span>,00879/4017,2001-03-11,National (Informed Consent),United Kingdom,Cypermethrin Cis 80:Trans 20,N,Sheep,POM-VPS,Pour-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_172727.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_539957.PDF
A002876,Program 40 mg Suspension for Injection,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4037,1997-12-24,National (Informed Consent),United Kingdom,Lufenuron,N,Cats,POM-V,Suspension for injection,Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141943.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_568633.PDF
A002875,Program 80 mg Suspension for Injection,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4038,1997-12-24,National (Informed Consent),United Kingdom,Lufenuron,N,Cats,POM-V,Suspension for injection,Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141957.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_568781.PDF
A006870,"Denagard 10% w/w Premix for Medicated Feeding Stuff for Pigs, Chickens, Turkeys and Rabbits",Elanco Europe Ltd,<span>Elanco Europe Limited</span>,00879/4051,2008-10-10,National,United Kingdom,Tiamulin Hydrogen Fumarate,N,"Chickens, Pigs, Rabbits, Turkeys",POM-V,Premix for medicated feeding stuff,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_227441.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_327974.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_327972.PDF
A000703,Denagard 12.5% w/v Concentrate for Oral Solution,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4052,1992-07-31,National,United Kingdom,Tiamulin Hydrogen Fumarate,N,"Chickens, Pigs, Turkeys",POM-V,Oral solution,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_117229.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_540329.PDF
A001594,Denagard 200 mg/ml Solution for Injection,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/4053,1985-07-31,National,United Kingdom,Tiamulin Hydrogen Fumarate,N,Pigs,POM-V,Solution for injection,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_123723.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_540388.PDF
